event_id,frame_peak,time_sec
1,18,0.6
2,38,1.267
3,58,1.933
4,78,2.6
5,98,3.267
6,118,3.933
7,138,4.6
8,158,5.267
9,178,5.933
10,198,6.6
11,218,7.267
12,238,7.933
13,258,8.6
14,278,9.267
15,298,9.933
