event_id,frame_peak,time_sec
1,90,1.5
2,130,2.167
3,170,2.833
4,207,3.45
5,247,4.117
6,287,4.783
7,332,5.533
8,372,6.2
9,407,6.783
10,447,7.45
11,492,8.2
