event_id,frame_peak,time_sec
1,61,1.017
2,91,1.517
3,126,2.1
4,156,2.6
5,186,3.1
6,211,3.517
7,241,4.017
8,266,4.433
9,296,4.933
10,321,5.35
11,351,5.85
